sh050m,sh100m,sh500m,MedianIncome,MigraRate,BirthRate,DeathRate,BachelorRate,UnemploymentRate,DEM,GOP
0.71,0.81,0.93,40283.0,-0.9,10.7,13.7,14.9,5.6,2290,7697
0.56,0.63,0.84,38617.0,-14.6,14.6,10.7,16.5,5.5,9577,9210
0.69,0.76,0.91,57856.0,7.5,12.1,10.6,16.5,5.2,5550,31579
0.56,0.65,0.87,74212.0,6.4,11.4,6.6,42.1,4.3,22927,72846
0.39,0.6,0.9,26814.0,-18.0,11.1,10.9,21.8,7.7,4739,1581
0.71,0.79,0.92,40555.0,-5.3,10.6,12.6,14.3,6.6,12108,20596
0.66,0.79,0.93,40169.0,0.9,11.4,13.2,18.3,5.6,5271,12967
0.56,0.62,0.85,47483.0,5.1,12.4,8.3,30.3,5.6,31746,47701
0.72,0.8,0.92,39511.0,-3.1,12.4,15.1,11.6,7.4,4486,24208
0.71,0.79,0.93,37575.0,-9.5,10.5,13.9,11.1,8.6,2366,6031
0.53,0.7,0.91,24216.0,-4.3,11.8,12.1,12.5,14.4,4329,1737
0.72,0.82,0.93,38644.0,2.3,10.0,13.2,13.5,7.1,871,9225
0.34,0.42,0.82,34040.0,1.0,13.9,9.4,11.7,11.5,12196,5315
0.3,0.31,0.55,45151.0,-7.4,12.3,10.6,23.0,6.2,15291,25036
0.25,0.29,0.73,53643.0,5.2,11.5,6.0,35.6,6.0,25308,16573
0.34,0.43,0.78,40747.0,12.0,11.1,15.6,18.5,7.2,6746,13672
0.42,0.51,0.81,46714.0,-8.9,15.0,7.6,15.3,6.8,3301,8025
0.41,0.47,0.78,61110.0,-0.7,16.0,7.4,11.9,7.6,1092,1892
0.28,0.38,0.66,34285.0,11.5,10.3,13.0,12.4,6.1,1318,3381
0.5,0.54,0.64,58742.0,14.1,12.9,7.2,32.0,4.6,549040,590465
0.37,0.41,0.69,42003.0,10.5,8.9,15.2,12.9,6.6,16485,54656
0.39,0.43,0.81,37440.0,2.7,14.0,8.9,15.8,8.3,15362,18165
0.48,0.58,0.68,47644.0,5.9,11.3,9.4,31.9,5.0,195649,147019
0.25,0.53,0.63,52642.0,23.7,10.9,7.2,19.0,5.6,35737,53857
0.49,0.73,0.87,39090.0,-9.9,13.6,6.6,21.0,10.1,10684,3650
0.32,0.48,0.63,49824.0,21.5,8.4,13.2,25.2,4.9,29705,58862
0.51,0.6,0.73,42998.0,2.7,14.6,7.3,14.8,18.9,18336,20586
0.53,0.72,0.91,39726.0,-10.4,13.5,12.9,15.5,3.4,1939,3825
0.54,0.62,0.91,41277.0,-14.5,11.5,12.3,13.2,6.3,2408,5338
0.48,0.56,0.84,40147.0,8.3,9.1,17.3,18.3,4.3,4163,14655
0.48,0.55,0.78,64072.0,22.2,14.2,6.9,32.4,2.9,27894,60751
0.55,0.67,0.87,39881.0,4.1,12.8,12.8,16.0,3.7,2925,12225
0.53,0.71,0.89,34114.0,-3.2,12.3,12.7,15.2,5.2,1317,2163
0.56,0.72,0.91,33507.0,-6.8,9.1,13.7,12.1,4.6,636,1554
0.56,0.62,0.83,37145.0,-1.5,11.9,11.1,20.4,3.6,3334,6773
0.4,0.48,0.88,29527.0,-4.4,11.9,13.7,14.7,6.6,2350,1716
0.44,0.66,0.89,37247.0,2.7,10.3,9.3,27.6,4.4,3606,4398
0.67,0.73,0.92,36037.0,-5.6,11.8,16.1,11.6,5.6,1999,3779
0.51,0.67,0.88,42397.0,-1.3,9.1,15.1,14.9,5.9,2101,9454
0.57,0.76,0.92,45256.0,0.7,9.6,14.4,16.2,4.5,723,2460
0.54,0.65,0.91,35322.0,-2.7,11.9,12.2,20.6,5.7,3140,5456
0.67,0.75,0.9,41892.0,-1.5,11.2,12.5,16.0,5.7,2655,4844
0.55,0.65,0.91,44091.0,7.3,14.6,8.5,26.3,3.2,10474,22798
0.64,0.71,0.88,42941.0,4.2,12.2,9.9,15.3,3.9,4476,16655
0.67,0.71,0.91,37627.0,-1.0,16.4,9.8,18.0,4.5,8368,6953
0.59,0.76,0.92,40970.0,-13.8,13.2,12.8,15.4,4.4,1995,4577
0.55,0.74,0.91,33679.0,-13.8,10.3,13.8,13.7,5.0,1165,1507
0.41,0.65,0.9,32392.0,-10.2,13.5,13.6,12.4,5.4,2227,1915
0.49,0.65,0.9,40441.0,-3.5,12.9,12.8,20.6,5.8,2364,3967
0.53,0.61,0.88,50909.0,2.6,12.7,8.0,30.0,3.8,14525,29170
0.68,0.75,0.89,40091.0,-1.8,10.6,13.7,11.8,4.0,1376,5034
0.54,0.65,0.88,33451.0,1.7,9.2,14.2,11.8,4.3,1067,3470
0.54,0.63,0.85,42087.0,7.6,11.5,14.0,20.2,4.3,12283,26053
0.65,0.74,0.91,54411.0,3.5,10.4,11.3,18.3,3.6,1407,5160
0.68,0.74,0.92,45208.0,7.5,13.2,11.0,15.9,4.3,3056,10698
0.64,0.7,0.9,38769.0,-6.8,14.4,10.1,15.1,3.8,2371,4391
0.65,0.74,0.89,46313.0,-0.3,10.5,11.9,14.7,3.9,3137,8153
0.54,0.69,0.91,36166.0,-0.8,13.8,12.0,14.7,3.3,1350,3155
0.57,0.72,0.89,42520.0,0.4,13.1,11.1,18.9,4.9,2878,9925
0.55,0.68,0.87,36987.0,5.3,7.9,12.8,13.8,5.6,1111,4042
0.61,0.75,0.91,35098.0,-3.9,11.9,12.6,10.2,6.2,1583,3262
0.62,0.69,0.89,38485.0,-21.1,12.7,12.3,17.8,5.6,15721,9231
0.57,0.71,0.87,37205.0,-2.2,14.0,10.0,15.8,4.7,2421,6072
0.63,0.69,0.89,32288.0,-16.2,11.1,12.2,16.5,5.9,1028,1750
0.66,0.73,0.92,39015.0,0.2,11.4,14.6,15.0,4.3,1263,4064
0.43,0.69,0.89,26912.0,-34.5,10.6,11.7,8.9,4.7,1735,1229
0.57,0.74,0.91,35419.0,-9.7,8.9,9.5,8.9,4.8,1252,2455
0.63,0.68,0.91,43567.0,3.9,10.9,14.9,11.4,4.7,1397,3604
0.65,0.76,0.89,39361.0,0.6,13.2,13.2,12.1,4.6,1712,5737
0.59,0.65,0.86,56247.0,2.6,13.5,9.4,20.3,3.3,5638,19902
0.68,0.73,0.88,39059.0,22.3,13.6,10.5,12.5,3.2,1587,4917
0.47,0.57,0.81,33950.0,15.5,10.0,15.3,17.2,4.0,1377,5077
0.61,0.68,0.9,38412.0,-3.2,13.8,12.1,16.6,4.2,4273,11293
0.65,0.7,0.9,35846.0,-23.1,15.0,11.3,12.8,6.8,5621,6988
0.45,0.73,0.9,32906.0,-30.2,13.0,17.1,10.5,4.8,1298,1400
0.56,0.69,0.88,36435.0,-2.7,9.2,15.4,10.8,5.2,735,2573
0.56,0.72,0.9,37612.0,-14.6,12.7,13.7,15.4,3.7,1156,2001
0.62,0.76,0.89,33107.0,1.8,10.2,11.7,16.2,3.8,699,2875
0.53,0.71,0.89,36016.0,-9.7,11.1,14.0,16.0,5.1,4320,5347
0.63,0.71,0.89,43819.0,-0.5,11.6,13.4,11.9,4.8,1035,2979
0.45,0.73,0.89,29073.0,-27.7,16.0,14.0,14.0,5.9,4292,2443
0.63,0.74,0.91,34821.0,-0.6,10.8,10.9,14.7,4.3,684,3150
0.69,0.78,0.93,36125.0,0.0,13.9,14.1,10.1,4.3,1878,3149
0.53,0.61,0.86,32941.0,-0.6,11.5,13.1,13.3,4.9,1210,6606
0.54,0.71,0.88,42916.0,0.6,13.1,9.1,22.0,4.6,4818,15694
0.69,0.79,0.93,40340.0,-0.6,9.5,14.4,15.1,3.8,812,2503
0.57,0.62,0.86,47966.0,-2.8,13.9,9.1,34.1,3.5,89377,61182
0.66,0.73,0.92,38647.0,2.3,12.4,14.6,14.0,4.6,1425,4508
0.54,0.74,0.9,39675.0,-14.9,13.0,9.8,10.6,5.2,4031,3195
0.61,0.67,0.89,63618.0,8.8,11.5,9.2,26.1,3.1,13247,35852
0.6,0.72,0.88,34245.0,-19.9,11.4,13.1,9.1,3.7,507,2378
0.58,0.74,0.88,29747.0,21.0,11.0,15.1,12.5,4.6,601,2955
0.57,0.66,0.86,42559.0,-2.9,13.4,10.1,19.7,3.7,12184,28769
0.59,0.67,0.89,38697.0,-23.4,15.4,9.1,11.5,4.9,1075,3281
0.51,0.65,0.88,32379.0,16.6,11.5,16.1,11.3,5.4,1472,5405
0.53,0.67,0.88,31955.0,12.8,9.8,13.1,12.8,5.1,1189,4081
0.57,0.63,0.9,41546.0,-6.3,13.8,12.8,20.8,5.5,5667,10201
0.56,0.68,0.86,38166.0,-3.4,9.3,14.4,14.1,6.9,1547,5382
0.45,0.51,0.82,46367.0,9.9,14.4,6.9,32.8,2.7,32296,40418
0.57,0.65,0.88,44329.0,-0.8,11.8,10.5,21.4,5.2,5157,21038
0.54,0.74,0.91,30400.0,-10.9,10.6,15.6,12.0,5.5,1117,1344
0.63,0.75,0.88,38658.0,-1.1,13.0,12.4,13.5,4.5,1472,4600
0.47,0.58,0.72,89472.0,3.6,11.9,5.9,46.0,4.3,337524,64010
0.25,0.31,0.61,57481.0,-23.3,2.8,5.6,30.0,6.5,318,211
0.51,0.59,0.77,59789.0,14.2,8.3,11.7,20.3,5.9,3420,6069
0.44,0.54,0.78,45097.0,7.3,10.9,10.6,26.5,6.6,31638,35354
0.5,0.61,0.78,57990.0,11.0,8.4,11.7,18.7,5.7,6740,11064
0.57,0.68,0.83,54861.0,6.1,14.3,7.1,15.4,15.5,2484,3425
0.52,0.62,0.75,90920.0,7.1,11.0,6.9,41.7,4.5,231968,87211
0.43,0.53,0.75,39458.0,5.9,10.8,10.2,14.3,7.5,2997,4370
0.44,0.51,0.76,75100.0,7.3,8.6,8.1,33.7,5.1,28026,37286
0.6,0.65,0.84,48323.0,-1.3,15.7,6.7,20.7,9.5,98103,94005
0.58,0.68,0.84,46141.0,-1.4,13.6,9.5,13.9,8.3,1766,3405
0.41,0.44,0.67,43164.0,7.8,10.8,9.7,29.8,4.9,19596,10883
0.6,0.73,0.87,43327.0,-4.9,17.1,6.1,14.5,24.1,14331,5607
0.35,0.35,0.75,53350.0,-10.9,10.6,9.4,26.1,5.3,3067,4128
0.57,0.68,0.81,49812.0,-3.2,15.6,6.6,16.1,10.4,64980,95064
0.48,0.59,0.76,51320.0,-14.5,15.1,5.3,13.5,10.0,9077,13158
0.51,0.59,0.77,40818.0,-3.6,11.5,13.7,15.8,6.7,6240,5752
0.38,0.48,0.77,49793.0,-18.4,9.2,6.3,12.0,6.9,2026,6533
0.55,0.57,0.72,61308.0,-3.7,12.3,6.2,31.8,5.3,1654626,542591
0.58,0.65,0.84,49467.0,-5.1,14.9,7.1,14.5,9.2,13283,19221
0.44,0.54,0.68,103488.0,-2.9,8.7,7.2,58.8,3.3,69518,14214
0.34,0.5,0.74,51233.0,-7.3,8.9,11.2,23.4,6.9,2568,4317
0.47,0.56,0.76,45247.0,1.0,11.9,10.4,24.7,5.3,6905,3571
0.51,0.69,0.83,47442.0,-3.8,15.4,6.7,14.0,10.6,21856,18486
0.25,0.41,0.74,42890.0,-7.9,8.0,12.7,15.9,7.8,798,2413
0.21,0.23,0.67,56574.0,5.0,9.5,3.2,30.6,5.4,2551,1989
0.42,0.53,0.75,62999.0,-0.5,14.6,5.9,24.5,7.6,47387,19580
0.47,0.6,0.75,73112.0,-0.8,10.1,8.6,34.9,4.3,20454,9335
0.36,0.45,0.73,60501.0,4.2,8.3,9.9,36.6,4.8,16199,14686
0.57,0.6,0.76,81642.0,-0.5,12.0,6.2,39.9,4.0,413982,371268
0.29,0.5,0.77,85326.0,15.1,9.9,8.5,38.6,4.5,43915,55212
0.31,0.46,0.74,53646.0,16.0,8.0,10.4,23.5,9.7,3224,5079
0.39,0.51,0.77,59951.0,8.6,12.9,6.8,21.8,6.1,253215,240013
0.5,0.62,0.77,59728.0,6.1,13.0,7.6,30.4,5.4,217211,133829
0.38,0.64,0.81,73298.0,10.0,12.8,5.9,19.7,6.7,6751,4358
0.37,0.46,0.78,56194.0,0.0,14.5,6.5,20.3,5.8,258409,214698
0.44,0.5,0.67,70693.0,1.2,13.1,6.4,38.1,4.7,429338,298521
0.27,0.44,0.61,101873.0,6.5,10.4,6.6,57.1,3.3,238772,27633
0.59,0.68,0.8,59038.0,7.7,13.9,7.5,18.4,8.1,71349,56194
0.35,0.43,0.77,69517.0,5.5,9.4,8.5,34.6,4.3,53911,44981
0.54,0.59,0.73,107075.0,-2.0,11.7,6.1,49.9,3.0,163084,40809
0.4,0.47,0.76,66360.0,-0.7,12.6,7.0,33.8,5.1,85147,45788
0.5,0.6,0.74,110843.0,-0.5,12.1,5.3,51.3,3.8,406049,116196
0.44,0.54,0.76,75929.0,-0.5,10.3,6.3,40.0,7.0,60529,14523
0.45,0.5,0.74,46663.0,1.9,11.5,12.2,22.2,7.0,17483,40447
0.29,0.53,0.78,48099.0,-10.1,8.1,10.4,18.7,7.6,596,1044
0.35,0.47,0.72,40875.0,6.5,9.6,12.8,22.5,8.5,5252,8392
0.53,0.63,0.74,73200.0,8.4,11.9,7.4,26.2,5.5,87419,45641
0.47,0.6,0.76,73496.0,2.1,9.9,8.2,34.9,4.0,116027,37421
0.59,0.7,0.82,54060.0,4.8,14.5,8.1,16.9,8.6,51171,52567
0.55,0.64,0.79,51283.0,0.0,14.0,8.6,17.7,9.7,7599,10947
0.54,0.57,0.79,40585.0,1.8,12.8,10.4,15.5,7.1,5120,11429
0.34,0.47,0.69,38727.0,-14.6,8.2,14.0,19.7,7.1,1876,2409
0.54,0.67,0.85,45768.0,-4.5,15.9,6.6,14.3,11.2,23663,33372
0.41,0.56,0.8,50431.0,7.6,8.7,13.4,20.0,6.2,7075,10614
0.4,0.61,0.75,79470.0,-2.7,11.6,6.6,33.1,5.2,143095,101351
0.4,0.56,0.79,63645.0,10.9,11.3,6.0,41.6,5.9,34460,13178
0.45,0.57,0.72,46054.0,4.7,16.1,8.4,16.7,8.6,5115,8869
0.47,0.61,0.68,65442.0,6.4,14.6,6.0,23.6,3.5,86471,73807
0.38,0.43,0.74,37057.0,5.5,12.3,8.9,26.1,4.0,3168,3031
0.48,0.54,0.61,70866.0,5.9,12.8,6.2,42.2,3.1,148365,109638
0.29,0.32,0.56,51998.0,32.3,9.4,7.2,38.9,3.2,2489,4234
0.4,0.47,0.81,34070.0,0.8,9.6,17.5,22.1,1.7,278,1716
0.39,0.53,0.78,33951.0,-37.3,6.9,10.6,12.4,3.0,581,1166
0.34,0.44,0.49,74772.0,7.3,8.8,5.7,60.8,2.6,124715,38766
0.44,0.5,0.57,86870.0,19.4,10.9,5.8,55.5,2.8,19530,14272
0.26,0.37,0.55,49877.0,28.7,7.0,9.9,33.5,2.6,4773,5283
0.33,0.43,0.81,50558.0,9.8,13.6,11.4,20.0,2.2,127,905
0.35,0.46,0.53,68699.0,10.4,8.4,6.0,46.5,3.2,2585,2426
0.45,0.49,0.82,34390.0,-3.2,12.8,11.2,20.2,4.8,1753,1885
0.31,0.4,0.69,27211.0,37.4,8.2,13.2,19.1,4.7,1109,581
0.44,0.54,0.73,35873.0,-62.9,5.9,10.1,9.6,3.4,336,1069
0.25,0.33,0.53,52021.0,40.3,5.3,11.5,36.9,3.1,797,2059
0.47,0.5,0.71,41798.0,17.0,9.5,12.0,21.2,4.8,4048,11584
0.42,0.47,0.53,61038.0,11.5,13.5,6.3,47.9,3.1,174611,43637
0.37,0.45,0.68,46791.0,37.7,7.4,7.4,21.3,3.8,227,936
0.42,0.47,0.55,112399.0,12.3,10.7,4.1,57.9,2.6,67045,100178
0.26,0.37,0.46,79556.0,2.8,12.0,2.2,48.1,2.7,12652,8153
0.38,0.52,0.64,86693.0,17.2,8.5,4.9,35.9,2.6,3056,11536
0.35,0.41,0.5,63610.0,13.7,13.9,6.3,37.9,3.7,105807,176506
0.37,0.54,0.67,46372.0,18.7,8.3,11.6,18.2,5.1,5275,15066
0.35,0.43,0.61,69161.0,10.7,13.8,5.9,30.0,3.4,11205,13071
0.3,0.42,0.48,65472.0,16.0,7.0,5.1,38.7,2.4,1634,1564
0.24,0.38,0.47,63875.0,25.7,8.4,4.3,37.8,2.6,3319,4467
0.22,0.27,0.52,53753.0,14.4,9.2,4.8,55.3,2.3,5068,3250
0.15,0.2,0.4,51717.0,32.2,6.4,6.4,43.9,2.5,197,339
0.37,0.46,0.68,34626.0,37.1,6.6,17.6,21.4,6.2,1631,1875
0.24,0.37,0.66,46671.0,4.4,9.6,9.6,16.8,2.6,171,628
0.43,0.54,0.6,74342.0,8.6,10.5,7.6,44.1,2.9,151885,130233
0.35,0.48,0.82,43951.0,-28.6,12.5,15.4,21.5,2.0,91,726
0.34,0.43,0.77,48272.0,-77.7,12.5,10.1,18.9,2.1,526,2894
0.27,0.37,0.55,49064.0,14.1,10.6,5.9,34.0,2.8,1600,1264
0.28,0.31,0.59,58499.0,8.2,10.1,6.5,43.9,2.8,15300,12471
0.3,0.49,0.59,66561.0,12.9,10.2,6.5,46.3,2.8,92170,82624
0.34,0.45,0.76,38224.0,6.0,9.7,13.2,19.7,5.0,2614,3656
0.22,0.48,0.73,42969.0,2.2,9.7,11.0,12.8,2.5,399,1873
0.42,0.55,0.8,49407.0,-0.5,10.7,11.9,20.5,2.9,1843,7272
0.45,0.46,0.71,49825.0,8.9,11.8,9.9,27.4,5.2,20958,48129
0.2,0.26,0.5,52641.0,13.3,10.7,6.7,39.9,2.2,237,344
0.36,0.42,0.71,54151.0,9.4,13.8,7.4,17.1,3.9,874,5293
0.37,0.42,0.7,40679.0,10.0,11.1,10.4,28.6,4.9,3920,7771
0.47,0.5,0.7,43285.0,14.4,10.8,10.7,23.9,4.1,5438,14303
0.52,0.65,0.77,49129.0,-8.8,15.7,10.2,17.6,3.4,3128,8104
0.51,0.58,0.81,36773.0,2.3,11.9,14.1,17.7,4.6,1719,2988
0.25,0.3,0.52,66813.0,38.1,6.8,6.8,48.6,3.7,1690,1337
0.21,0.38,0.47,68535.0,35.6,6.7,5.9,30.2,2.7,3351,6053
0.41,0.46,0.78,49046.0,-14.6,14.4,10.2,25.5,1.9,436,1791
0.23,0.32,0.42,74576.0,-4.2,8.6,3.4,63.1,3.3,7239,2522
0.41,0.47,0.82,40164.0,-1.8,14.3,12.7,17.4,3.2,1173,3508
0.57,0.6,0.76,44644.0,9.9,11.2,10.4,22.0,4.7,27945,27746
0.28,0.4,0.69,58980.0,-8.0,12.0,9.4,20.2,5.0,433,2782
0.43,0.45,0.77,41128.0,-1.1,11.1,11.5,23.7,4.9,1985,3060
0.23,0.3,0.46,71322.0,10.0,9.3,4.3,50.4,2.6,7487,5149
0.32,0.37,0.65,33973.0,20.1,11.7,7.3,22.9,4.8,1345,1109
0.19,0.25,0.53,44652.0,-2.9,8.7,4.4,34.5,3.5,265,215
0.25,0.29,0.45,67251.0,18.0,8.4,3.3,56.7,3.2,2960,1030
0.38,0.44,0.79,42518.0,15.1,12.6,15.1,20.8,2.3,267,1015
0.19,0.3,0.36,70265.0,10.6,9.4,2.1,51.0,2.0,9502,5064
0.34,0.4,0.49,63966.0,27.0,8.0,7.3,34.0,3.6,3547,9580
0.34,0.57,0.81,46304.0,12.7,11.8,14.1,16.2,2.1,289,2284
0.36,0.59,0.7,63609.0,25.3,14.8,6.0,26.7,3.4,45869,75882
0.4,0.48,0.81,48963.0,-2.1,15.2,10.1,22.1,2.1,701,3755
0.6,0.68,0.82,89954.0,-4.0,10.6,7.1,47.4,4.9,238723,155457
0.62,0.73,0.83,69341.0,-4.2,10.5,8.7,37.8,5.4,233789,147912
0.62,0.71,0.82,76323.0,-5.4,7.8,9.7,35.1,4.7,39836,53376
0.6,0.71,0.82,80190.0,-1.3,8.0,9.1,41.5,4.4,45306,38847
0.63,0.72,0.83,66012.0,-3.9,10.3,9.0,34.9,5.5,203601,158373
0.57,0.64,0.78,70258.0,-4.9,9.8,9.0,33.3,5.1,62951,54574
0.58,0.7,0.84,81369.0,-5.0,7.7,6.6,41.2,4.5,38450,33989
0.67,0.76,0.84,60869.0,-4.1,9.5,9.0,24.1,5.6,21776,25738
0.54,0.67,0.84,53994.0,4.2,12.8,9.0,23.6,4.9,33347,36989
0.61,0.7,0.86,67246.0,-0.5,11.8,8.2,35.9,4.4,162905,85507
0.56,0.71,0.87,56618.0,21.9,10.6,11.1,26.5,4.5,39329,62607
0.45,0.47,0.74,74093.0,9.4,14.3,7.1,57.6,6.1,260223,11553
0.41,0.48,0.78,45294.0,15.6,11.0,7.1,42.5,4.3,75370,46584
0.74,0.77,0.89,51904.0,14.9,12.2,8.3,13.4,4.9,2112,10294
0.43,0.48,0.74,48843.0,8.2,13.0,10.2,22.8,4.8,21689,62010
0.65,0.7,0.86,43058.0,-0.3,11.1,10.9,10.6,4.3,2924,8913
0.47,0.5,0.65,51214.0,23.0,9.2,12.4,29.3,5.1,119525,181620
0.54,0.56,0.65,54055.0,10.5,11.8,7.8,31.9,4.5,546956,258521
0.63,0.72,0.88,36708.0,-1.9,10.2,13.4,9.9,5.7,1236,4647
0.38,0.43,0.52,44935.0,38.7,5.9,14.6,23.2,5.3,33421,60196
0.43,0.52,0.65,40009.0,28.2,7.3,17.7,17.6,6.7,22765,54377
0.53,0.55,0.73,57476.0,21.1,10.8,8.2,24.1,4.5,27768,74898
0.37,0.44,0.53,62397.0,25.3,9.1,8.8,36.2,4.7,60941,105297
0.55,0.64,0.85,41667.0,14.4,11.9,11.4,15.6,4.9,7599,20359
0.55,0.65,0.74,34146.0,15.0,10.3,8.3,11.4,5.3,3761,6744
0.5,0.66,0.84,34146.0,10.7,9.3,13.3,9.4,5.4,1270,5822
0.52,0.55,0.76,51948.0,11.0,14.3,8.6,29.2,4.9,203627,210061
0.52,0.54,0.75,45004.0,5.2,12.7,10.7,26.4,4.9,57114,88370
0.38,0.46,0.62,50863.0,32.2,7.5,12.2,24.4,5.5,21985,33804
0.52,0.66,0.85,37479.0,13.9,8.2,11.6,17.1,4.3,1738,4119
0.68,0.72,0.9,40865.0,-1.7,12.2,10.5,16.7,6.3,14994,6721
0.56,0.64,0.82,41721.0,12.2,11.2,10.3,14.2,5.0,1457,6740
0.4,0.6,0.73,39607.0,26.6,5.4,8.9,9.9,6.2,1271,2996
0.49,0.57,0.8,38381.0,12.5,7.4,11.6,17.7,4.6,1715,5320
0.53,0.67,0.87,34517.0,1.3,11.3,9.7,9.3,5.7,1899,3439
0.63,0.69,0.78,37612.0,-4.8,14.3,7.9,10.4,6.6,2147,5238
0.58,0.64,0.76,39911.0,12.3,15.2,7.8,8.2,8.5,4610,6192
0.5,0.56,0.65,46225.0,31.1,8.8,14.5,17.5,6.0,31818,59029
0.45,0.6,0.69,36864.0,25.0,9.2,14.7,17.0,6.5,14901,29509
0.49,0.53,0.67,54509.0,18.5,12.8,7.7,32.7,4.4,306422,265928
0.67,0.72,0.88,41110.0,8.9,10.5,13.3,10.3,5.4,852,7476
